"gene","drug","approved","score","interaction_types","sources"
"FLT3","AC710",FALSE,0.0472607049047167,"inhibitor","GuideToPharmacology"
"FLT3","CEDIRANIB",FALSE,0.00482252090864456,"inhibitor","GuideToPharmacology"
"FLT3","KENPAULLONE",FALSE,0.00502773456433157,"","DTC"
"FLT3","PATIDEGIB",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","XL999",FALSE,0.0472607049047167,"inhibitor","TALC; TdgClinicalTrial"
"FLT3","COMPOUND 6LI [CHAN ET AL., 2022]",FALSE,0.0590758811308959,"inhibitor","GuideToPharmacology"
"FLT3","MOMELOTINIB",TRUE,0.0429642771861061,"","CKB-CORE"
"FLT3","MIDOSTAURIN",TRUE,0.472607049047167,"inhibitor; inhibitor","CGI; FDA; DoCM; MyCancerGenomeClinicalTrial; GuideToPharmacology; MyCancerGenome; CIViC; OncoKB; TdgClinicalTrial; ChEMBL; CKB-CORE; PharmGKB"
"KLF4","HYDROXYUREA",TRUE,2.30139084753403,"","PharmGKB"
"KLF4","APTO-253",FALSE,26.4659947466414,"","TTD"
"CAMK1","ILORASERTIB",FALSE,0.168038061883437,"","DTC"
"CAMK1","LAUROGUADINE",FALSE,0.63014273206289,"","DTC"
"CAMK1","LINIFANIB",FALSE,0.252057092825156,"","DTC"
"FPR1","PHENYLBUTAZONE",TRUE,0.102581374986982,"","DTC"
"FPR1","T-0080",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","MET-MET-TRP-LEU-LEU",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","METHIONINE BENZIMIDAZOLE 6",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","AG-14",FALSE,3.69292949953135,"agonist","DTC; GuideToPharmacology"
"FPR1","I-BOC-MET-LEU-PHE",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","COMPOUND R-(-)-5F [PMID: 22607879]",FALSE,0.615488249921892,"agonist","GuideToPharmacology"
"FPR1","CYCLOSPORIN H",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","CHEMBL:CHEMBL1290365",FALSE,1.23097649984378,"","DTC"
"FPR1","COMPOUND 17B [PMID: 19639995]",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","[3H]FMET-LEU-PHE",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","CYCLOSPORINE",TRUE,0.0141491551706182,"inhibitor","GuideToPharmacology"
"FPR1","FMET-MET-TRP-LEU-LEU",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","DIAMIDE 7",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","T-BOC-FLFLF",FALSE,0.615488249921892,"inhibitor","GuideToPharmacology"
"FPR1","GG-2P20",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","AZ2158",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","WKYMVM",FALSE,0.410325499947928,"agonist","GuideToPharmacology"
"FPR1","DEOXYCHOLIC ACID",TRUE,0.615488249921892,"inhibitor","GuideToPharmacology"
"FPR1","[125I]CHIPS",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","MITOCHONDRIAL PEPTDE FMMYALF",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","T20(DP178)",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","ANNEXIN I-(2-26)",FALSE,0.410325499947928,"agonist","GuideToPharmacology"
"FPR1","FMET-LEU-PHE",FALSE,0.615488249921892,"agonist","GuideToPharmacology"
"FPR1","AG-09/1",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","[125I]CATHEPSIN G (HUMAN)",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","FMET-LEU-PHE-ILE-ILE",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","T-BOC-MET-LEU-PHE",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","BVT173187",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","SPINORPHIN",FALSE,0.615488249921892,"inhibitor","GuideToPharmacology"
"FPR1","FMET-ILE-VAL-THR-LEU-PHE",FALSE,0.615488249921892,"agonist","GuideToPharmacology"
"FPR1","REBAMIPIDE",FALSE,0.410325499947928,"","TTD"
"FPR1","CHENODEOXYCHOLIC ACID",TRUE,0.153872062480473,"inhibitor","GuideToPharmacology"
"FPR1","3570-0208 [PMID:19807662]",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","MITOCHONDRIAL PEPTIDE FMFADRW",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","FMET-MET-TYR-ALA-LEU-PHE",FALSE,0.410325499947928,"agonist","GuideToPharmacology"
"FPR1","FMET-ILE-PHE-LEU",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","SULFINPYRAZONE",TRUE,0.223813909062506,"inhibitor","GuideToPharmacology; DTC"
"FPR1","GROUP E 1682-2106 [PMID:16118363]",FALSE,1.23097649984378,"inhibitor","GuideToPharmacology"
"FPR1","AG-11/03",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","FMET-ILE-VAL-ILE-LEU",FALSE,1.23097649984378,"agonist","GuideToPharmacology"
"FPR1","PENICILLIN G POTASSIUM",TRUE,1.23097649984378,"","DTC"
"FPR1","BMS-986235",FALSE,0.615488249921892,"agonist","GuideToPharmacology"
"CPM","COMPOUND 3 [PMID: 14640538]",FALSE,13.2329973733207,"inhibitor","GuideToPharmacology"
"LIF","BUPIVACAINE HYDROCHLORIDE",TRUE,0.696473545964246,"","NCI"
"LIF","ESTRADIOL VALERATE",TRUE,0.123817519282533,"","NCI"
"LIF","RECOMBINANT INTERLEUKIN-13",FALSE,1.39294709192849,"","NCI"
"LIF","TRETINOIN",TRUE,0.0640435444564824,"","NCI"
"LIF","CISPLATIN",TRUE,0.0500460033028201,"","NCI"
"LIF","THROMBIN ALFA",TRUE,0.265323255605427,"","NCI"
"LIF","CHORIOGONADOTROPIN ALFA",TRUE,0.397984883408141,"","NCI"
"LIF","PACLITAXEL PROTEIN-BOUND",TRUE,0.0476221228009741,"","NCI"
"LIF","RECOMBINANT INTERLEUKIN-1",FALSE,0.309543798206332,"","NCI"
"LIF","DEXAMETHASONE",TRUE,0.0671299803339033,"","NCI"
"LIF","ANTISENSE OLIGONUCLEOTIDES",FALSE,0.168842071748908,"","NCI"
"LIF","DECITABINE",TRUE,0.232157848654749,"","NCI"
"LIF","THERAPEUTIC HORMONE",FALSE,0.126631553811681,"","NCI"
"LIF","MIFEPRISTONE",TRUE,0.232157848654749,"","NCI"
"LIF","CAPSAICIN",TRUE,0.348236772982123,"","NCI"
"LIF","AZACITIDINE",TRUE,0.139294709192849,"","NCI"
