"gene","stat"
"LINC00649",2.63178970413006
"ZSCAN22",2.63094085402988
"HYOU1",2.62420269035388
"CASZ1",2.61951693697292
"WIPF3",2.61851321865931
"IGKV3-20",2.61613719074877
"ZEB1",2.61086904602317
"PRKCQ",2.60965360251299
"CCDC66",2.6093992517042
"CXCR3",2.60924130655251
"MGP",2.60516450004425
"WDR73",2.60475365416706
"LINC01871",2.60233220547045
"LIN37",2.59309432853064
"SRM",2.591607116317
"E2F1",2.58716462715215
"KCTD17",2.58038055536484
"SCT",2.58037422961424
"ZFYVE28",2.57910590592527
"C11orf98",2.57724752914063
"IGLV2-18",2.56612005358519
"CNIH2",2.55972361969566
"LINC02446",2.55471639018075
"CCSER2",2.55271475725165
"ZNF282",2.54872344414463
"CLSTN3",2.54004413115864
"AFAP1L2",2.53903397110471
"ZNF613",2.53321236969535
"SCYL3",2.53028863948021
"PKIA",2.52621379744933
"SECISBP2L",2.51920943965983
"CARS",2.51245533646211
"IGLV6-57",2.49800693358966
"CCR5",2.49659753726378
"GPR171",2.49228478486901
"DRD4",2.48883317498419
"DDX43",2.47999037721959
"KIAA0753",2.47897391449774
"TRBV23-1",2.47151005204132
"SNRNP27",2.46781557527476
"BIN3",2.46689078846194
"AC004130.2",2.46057986393416
"FANK1",2.45960518005047
"RFTN1",2.4572923875842
"PRR5L",2.45318218721403
"IGLV7-46",2.45151353214139
"LRCH3",2.44981270564125
"MOK",2.44745129778715
"SNAP47",2.446529406702
"UNC45A",2.4460454174805
"RNF121",2.44279655662466
"TNIP3",2.44264555584579
"HNRNPUL2",2.43929095699
"CSTF1",2.43600881180778
"PTPN23",2.43438229343846
"RTF1",2.43174940688048
"APCS",2.43167827638163
"TRMU",2.43132241434234
"LAT",2.42934934977972
"TUT4",2.42656179509581
"TBP",2.42143183934429
"SH2D1A",2.42061678599681
"HKDC1",2.41799712986344
"THEMIS",2.41581669100054
"NFIB",2.4127602331871
"NEPRO",2.40904137266614
"TMEM185A",2.40814705095341
"TNFSF4",2.40737526308827
"TLK1",2.40611024278237
"ACTN4",2.40194185264584
"BARX2",2.40152965311079
"RAB27A",2.40106982138157
"ITGB8",2.39398387583658
"SFXN1",2.39276313263359
"TRBV5-4",2.38750428608035
"DEFB1",2.38457325182882
"MSC",2.38289195122944
"CD8A",2.37919338593993
"AFAP1",2.37550080101164
"TSHZ2",2.37487548818745
