"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.34048890962148e-28,1.68145431317647,0.292,0.093,8.05492090777028e-24,"10","CREB1"
7.29906946252181e-28,1.40954907423247,0.485,0.224,1.76002461949788e-23,"10","UTRN"
7.65677592479893e-28,1.52903904148677,0.361,0.132,1.84627837874677e-23,"10","PRDM1"
8.57842334506186e-28,1.15558705834137,0.661,0.358,2.06851522119477e-23,"10","MSR1"
1.1000857084975e-27,1.29097888486899,0.504,0.23,2.65263666890002e-23,"10","ME2"
1.10506152298271e-27,1.22857232027804,0.507,0.228,2.66463485036822e-23,"10","SP110"
1.19952534348847e-27,1.44870963122441,0.412,0.166,2.89241546075375e-23,"10","TM9SF3"
1.27271893336734e-27,1.74890476239648,0.281,0.089,3.06890716402867e-23,"10","GLOD4"
1.39839917904424e-27,1.45807128495816,0.372,0.139,3.37195994042938e-23,"10","ARL8A"
1.61309238964759e-27,1.54920837500695,0.409,0.166,3.88964967915723e-23,"10","DICER1"
1.93984861550869e-27,1.48035776383714,0.409,0.165,4.67755696657611e-23,"10","BAZ2B"
2.6055862316088e-27,1.52596576214049,0.328,0.114,6.28285008027829e-23,"10","RESF1"
3.89134493865834e-27,2.31213287228607,0.38,0.159,9.38320005058685e-23,"10","TCEAL9"
4.03899971431761e-27,1.69073389233139,0.281,0.089,9.73924001113406e-23,"10","BCL2L1"
4.17198689125637e-27,1.77075445904627,0.277,0.088,1.00599119908865e-22,"10","CTBP1"
5.4583775393413e-27,1.16363657356297,0.606,0.324,1.31617857606137e-22,"10","GAA"
6.32139594219422e-27,1.26591904416887,0.409,0.162,1.52427820354129e-22,"10","ZSWIM6"
7.61635229619265e-27,1.62656921947243,0.325,0.114,1.83653102918093e-22,"10","MAML2"
8.09777199176961e-27,1.05756810222077,0.646,0.369,1.95261576037541e-22,"10","DPP7"
9.58789127377579e-27,1.67190964869107,0.277,0.088,2.31192822284556e-22,"10","ADGRG6"
1.19061344291699e-26,1.55688095556434,0.365,0.14,2.87092619490574e-22,"10","ZNF638"
1.2372654293232e-26,1.52651234106003,0.35,0.13,2.98341812972703e-22,"10","ARPIN"
1.24478234164632e-26,0.867859994806319,0.77,0.505,3.00154366041177e-22,"10","NCOA4"
1.35277270063386e-26,0.949455353464929,0.712,0.406,3.26194081303842e-22,"10","CFD"
1.49798257955913e-26,0.79838140426859,0.898,0.669,3.61208539409093e-22,"10","HLA-DMB"
1.54235850191169e-26,1.77409309448732,0.259,0.079,3.71908905565966e-22,"10","NBR1"
1.6157175273936e-26,1.26994139217893,0.507,0.243,3.89597967380418e-22,"10","EPN1"
1.67444336159392e-26,1.29898174547378,0.42,0.171,4.03758527781143e-22,"10","GLMP"
1.71421369656283e-26,1.23111328227897,0.544,0.269,4.13348348652195e-22,"10","IRF2BP2"
1.99196263277014e-26,1.52783409565628,0.394,0.16,4.80321949639865e-22,"10","ZNF330"
2.21728136257214e-26,1.18583307187553,0.522,0.246,5.3465305495702e-22,"10","ATRX"
2.24303141088063e-26,1.42755579177229,0.372,0.142,5.40862164105647e-22,"10","EFCAB14"
2.76593709115117e-26,0.870167900121725,0.781,0.551,6.66950410789281e-22,"10","MAN2B1"
3.07129261365928e-26,1.2813474428205,0.54,0.269,7.40580787931662e-22,"10","APPL1"
3.57575670417781e-26,1.29283999485758,0.456,0.201,8.62222214078395e-22,"10","ATP6V0A1"
3.69694368170395e-26,1.5957339675191,0.325,0.116,8.91444029969274e-22,"10","ARHGAP5"
3.83636685873442e-26,0.831828341376355,0.602,0.294,9.25063140646631e-22,"10","GPNMB"
3.94426762778997e-26,1.54904530720422,0.354,0.133,9.51081253088997e-22,"10","RABEP1"
5.09391537406456e-26,1.38483171898285,0.387,0.153,1.22829581414819e-21,"10","LMAN1"
5.91169144521321e-26,1.23502535973681,0.518,0.249,1.42548615818426e-21,"10","PIK3AP1"
6.01493532577828e-26,0.855035828482087,0.803,0.565,1.45038135510492e-21,"10","SRRM2"
7.33725291765112e-26,0.864525453044211,0.777,0.516,1.76923179603322e-21,"10","CD99"
8.83153972419663e-26,1.18661217815811,0.533,0.264,2.12954917369553e-21,"10","PABPN1"
9.80513419601737e-26,1.73910475839974,0.259,0.081,2.36431200868567e-21,"10","DNAJC21"
1.0222304658131e-25,1.02904699756369,0.635,0.348,2.46490432221514e-21,"10","EIF3D"
1.26854160940571e-25,1.04724603696623,0.704,0.43,3.05883438275999e-21,"10","DDX17"
1.37615197065498e-25,1.40046297018681,0.321,0.113,3.31831524684034e-21,"10","GNG2"
1.49884428710682e-25,1.19687615103741,0.675,0.414,3.61416322950067e-21,"10","IER5"
1.59046885395495e-25,1.05829396896285,0.599,0.317,3.83509754754157e-21,"10","TRAM1"
1.70473262103497e-25,1.57405588231488,0.332,0.123,4.11062176910162e-21,"10","AAK1"
2.54123847183206e-25,1.77796722799895,0.252,0.078,6.12768832712865e-21,"10","NR1D2"
3.23873868745976e-25,1.66895660608024,0.27,0.088,7.80957059707172e-21,"10","ARHGAP27"
3.9500794525539e-25,1.73547036074733,0.252,0.078,9.52482658394322e-21,"10","COPS7A"
4.2372078926114e-25,1.42072134435453,0.391,0.161,1.02171793914539e-20,"10","BEX4"
4.39038136873181e-25,1.28113187697095,0.591,0.33,1.0586526594423e-20,"10","NUCKS1"
4.69791208751441e-25,0.631242751210409,0.967,0.826,1.13280754166235e-20,"10","RNASET2"
4.82238806448427e-25,1.5730944772689,0.299,0.104,1.16282243398909e-20,"10","SIPA1"
4.92630179291634e-25,1.37078375802793,0.423,0.185,1.18787915132592e-20,"10","SECTM1"
4.99062694667459e-25,1.5717854170391,0.325,0.119,1.20338987565164e-20,"10","PHKB"
5.1021936209778e-25,0.994760632056031,0.65,0.366,1.23029194782638e-20,"10","TACC1"
5.24697878147945e-25,1.70383821466841,0.263,0.084,1.26520399357814e-20,"10","HEATR3"
5.93787708521684e-25,1.56203828124746,0.288,0.097,1.43180030155834e-20,"10","PIK3C2A"
6.18560689124074e-25,1.62806260043789,0.277,0.092,1.49153538968488e-20,"10","SPATA20"
8.10686736291011e-25,1.37006484353526,0.35,0.133,1.95480892721852e-20,"10","UBAC1"
8.46945247562069e-25,1.38773129013041,0.35,0.133,2.04223907544642e-20,"10","DOK3"
9.06249424098736e-25,0.503675184232381,0.646,0.334,2.18523923632928e-20,"10","HSPA6"
1.13318716214032e-24,1.24428760763526,0.449,0.202,2.73245420406896e-20,"10","EEA1"
1.1760584546786e-24,1.55686823680667,0.328,0.122,2.83582975176652e-20,"10","TNRC6B"
