"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STAM",1659.85467964515,0.113566227818904,0.347448853707098,0.326857396728214,0.74377574519426,0.991095329654688
"BCLAF3",59.8318863932464,0.132825724606638,0.406383928397497,0.326847877893235,0.743782945077356,0.991095329654688
"HIF1A",3676.23593373883,0.097980297975238,0.299777348377299,0.326843567419644,0.743786205452828,0.991095329654688
"PARP16",256.102713034518,-0.0979583853481086,0.299795010390458,-0.326751219843605,0.743856056832508,0.991095329654688
"FDX1",1532.58021900559,0.144343251665773,0.441879219772489,0.326657704655339,0.74392679353786,0.991095329654688
"AC091180.2",7.96768990019274,-0.309148062503683,0.946481707024409,-0.326628671435813,0.743948755268812,NA
"CCL28",66.4703426184177,0.124435561521347,0.380996590523454,0.326605446390963,0.743966323645584,0.991095329654688
"RAPGEF6",1592.86256362742,0.139664728698603,0.427846017690552,0.326436902352141,0.744093821263482,0.991095329654688
"GPBP1L1",903.569825479292,0.0755885261361352,0.23156638118186,0.326422711925406,0.744104556140784,0.991095329654688
"SMURF2",560.209466265933,0.101301820972637,0.310358828477795,0.326402253383568,0.744120032854943,0.991095329654688
"CAPN7",1211.36538583299,0.0999791829167502,0.30636061790704,0.326344761933752,0.744163525204565,0.991095329654688
"NT5M",10.7064717711902,-0.279574932510703,0.856814833017996,-0.326295626239271,0.744200697062156,NA
"SPG11",487.948820563646,-0.175305670538842,0.537418315993707,-0.326199657365036,0.744273300610601,0.991095329654688
